Id,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F85,Class
141,0.999523103,1,0.980014484,0.958474636,0.982398968,0.992095874,0.992678748,0.975254345,0.980729829,0.98816589,0.969513918,0.971730606,0.980014484,0.99262576,0.994330225,0.979078352,0.999480571,0.958382963,0.993838493,0.961445805,0.988787491,0.979876591,0.983109591,0.995172889,0.985814205,0.958526254,1,0.996131147,0.994393745,0.987068,0.986154521,0.996749089,0.965125194,0.980580579,0.979770347,0.932079943,0.960167971,0.986130229,0.955707341,1,0.957693715,0.973288495,0.9662752,0.970770678,0.968714607,0.975971842,0.954879685,0.991409803,0.979750442,0.991858704,0.960952432,0.9922554,0.997439504,0.982310938,0.983600202,1,0.98937935,0.985727938,0.976288362,0.959221393,0.984474738,0.995338815,0.974746655,0.996177287,0.98290451,0.990187098,0.980619065,0.996698802,0.995683049,0.955896357,0.990776598,0.996354171,0.996871117,0.98898996,0.999709785,0.985298786,0.995138895,0.996653456,0.989379937,1,8.0515,15.278,8.9806,1.8043,35.2057,3
142,0.983421,0.965538,0.987046,1,0.965775,0.945798,0.964697,0.967879,0.986044,0.952342,0.974805,0.995682,0.935483,0.940684,0.976488,0.982793,0.988903,0.997883,0.992394,0.989289,0.999429,0.98115,0.971893,0.98338,1,0.976111,0.987979,0.988804,0.974746,0.98642,0.985642,0.996698,0.966898,0.983472,0.979038,0.988355,0.965199,0.934479,0.95424,1,0.958825,0.962614,0.978222,0.992942,0.953889,0.964449,0.927707,0.99165,0.989244,0.994532,0.987304,0.990845,0.959173,0.985897,0.976053,0.952844,0.977905,1,0.990038,0.996041,0.975983,0.962704,0.976045,0.97677,0.990822,0.990877,0.998598,0.982637,0.988706,0.973494,0.994292,0.982986,0.985584,0.98431,0.969691,0.99019,0.991904,1,0.981772,0.998529,3.4924,4.45,7.3935,2.9843,4.4981,1
143,0.984973,0.992781,0.991488,0.98401,0.973622,0.980828,0.980499,0.970921,0.994212,0.979211,0.98176,0.976311,0.984972,0.985951,1,0.969855,0.996295,0.968717,0.993898,0.987864,0.999759,0.982297,0.983809,0.971534,1,0.960043,0.989056,0.977259,0.996143,0.994487,0.982319,0.976794,0.980537,1,0.990891,0.986813,0.972145,0.978494,0.966771,0.977189,0.982013,0.967664,0.969392,0.980713,0.975488,0.979564,0.992966,0.97348,0.947938,0.988286,0.938094,0.959625,0.992236,0.979868,0.975594,0.967388,0.984132,0.927193,0.985878,0.950985,0.986881,0.986175,1,0.942858,0.973272,0.978795,0.972163,0.971139,0.992633,0.99119,0.970301,0.977083,0.972928,0.965741,0.993535,0.983833,0.991062,0.996968,1,0.972931,3.5942,10.9574,2.6473,6.255,1.1825,2
144,0.949342,0.941573,0.961897,0.94835,0.975833,0.957784,0.940625,0.967572,0.960908,0.952419,0.940047,0.945787,1,0.968273,0.961347,0.984205,0.980386,0.968296,0.979298,0.975242,1,0.972177,0.965304,0.98771,0.988224,0.973301,0.977753,0.977413,0.993132,0.981889,0.977832,0.986909,0.955567,0.962862,0.960066,0.972389,0.993343,0.964454,0.976355,0.996939,0.95613,0.949123,0.96111,0.98806,1,0.961323,0.975669,0.994246,0.950733,0.954108,0.98218,0.962573,1,0.972235,0.946599,0.9944,0.981369,0.990916,0.977318,0.98043,0.98594,0.974744,0.988387,0.994101,0.971952,0.975534,0.990593,0.982314,1,0.991314,0.985754,0.983813,0.995685,0.993005,0.977848,0.983393,0.978802,0.97224,0.994135,0.980072,0.7369,0.3909,4.5192,3.8955,1.3979,3
145,1,0.760188292,0.760727308,1,1,0.619947508,0.760189985,0.619946439,0.760203589,0.620021066,0.760234814,0.619985564,0.760227874,0.760197438,1,1,1,0.760261395,0.760297772,1,1,0.620014974,0.760277506,0.620069705,0.760240178,0.620108045,0.760204269,0.619993189,0.760196386,0.760209631,1,1,1,0.76060776,0.761197239,1,1,0.620647269,0.760342219,0.62042645,0.760374075,0.620737238,0.760360106,0.62072962,0.760200951,0.760300271,1,1,1,0.760261395,0.760297772,1,0.760256525,1,0.760277506,1,0.760240178,1,1,1,0.760196386,0.760209631,1,0.620044183,1,0.76060776,0.761197239,1,0.760229794,1,0.760342219,1,0.760374075,1,1,1,0.760200951,0.760300271,1,0.620374707,5.7974,5.7923,5.7573,11.9891,11.9565,0
146,0.760192952,0.760200415,1,0.760203178,0.760205519,0.760193762,0.760197874,1,0.760196791,1,0.760199543,1,0.760194429,0.760205072,0.76019745,0.760197971,0.760201347,0.760218538,1,0.76020124,0.760199655,0.760200251,0.760202662,1,0.76020719,1,0.760211817,1,0.760197487,0.760206187,0.760210703,0.760214383,0.760288378,0.760265539,1,0.760232034,0.760315688,0.760275626,0.760270316,1,0.760261127,1,0.760408425,1,0.760219164,0.760309573,0.760312167,0.760298195,0.760201347,0.760218538,1,0.76020124,0.760199655,0.760200251,0.760202662,0.760214855,0.76020719,1,0.760211817,0.760191202,0.760197487,0.760206187,0.760210703,0.760214383,0.760288378,0.760265539,1,0.760232034,0.760315688,0.760275626,0.760270316,0.760305365,0.760261127,1,0.760408425,0.760188903,0.760219164,0.760309573,0.760312167,0.760298195,0.3977,0.3955,0.355,0.124,0.116,0
147,0.760189673,1,1,0.760193295,1,1,1,1,1,0.760192393,1,1,0.619956293,1,0.760210637,1,0.760187736,1,1,0.760204033,1,1,1,1,1,0.760267474,1,1,0.620039695,1,0.760230111,1,0.760289306,1,1,0.760453427,1,1,1,1,1,0.760349596,1,1,0.620784532,1,0.760274573,1,0.760187736,1,0.620016193,0.760204033,1,0.620175152,1,1,0.620019472,0.760267474,1,1,1,1,0.760230111,1,0.760289306,1,0.620430467,0.760453427,1,0.620498274,1,1,0.620082123,0.760349596,1,1,1,1,0.760274573,1,33.0799,32.887,32.887,26.5851,26.6158,0
148,0.76019425,0.760202179,1,0.760188317,0.760199196,0.760199936,0.760201075,0.620025049,0.760199124,0.760197844,1,0.760188442,0.760195162,1,0.760204659,1,0.760204454,0.760221262,1,0.760192084,0.760215758,0.76020198,0.760415565,0.620113324,0.760202632,0.760209086,1,0.760201881,0.760212353,1,0.760216321,1,0.760259056,0.760391453,1,0.760212576,0.760229519,0.760247899,0.760187916,0.619969047,0.760338516,0.760219986,1,0.760423812,0.760260671,1,0.76025289,1,0.760204454,0.760221262,1,0.760192084,0.760215758,0.76020198,0.760415565,1,0.760202632,0.760209086,1,0.760201881,0.760212353,1,0.760216321,1,0.760259056,0.760391453,1,0.760212576,0.760229519,0.760247899,0.760187916,1,0.760338516,0.760219986,1,0.760423812,0.760260671,1,0.76025289,1,4.3899,4.4189,4.4297,5.0397,5.038,0
149,1,0.760192509,0.61992664,1,1,1,0.760204899,0.619962112,1,0.760207135,1,0.76019924,1,0.620059201,0.760189335,0.760198365,1,0.760219076,0.620065512,1,1,1,0.760207378,0.619989449,1,0.760213167,1,0.762225108,1,0.620143491,0.760357714,0.760216984,1,0.760250395,0.620966821,1,1,1,0.760205575,0.621425938,1,0.760276278,1,0.765160509,1,0.620174072,0.760187584,0.760210622,1,0.760219076,1,1,1,1,0.760207378,1,1,0.760213167,1,0.762225108,1,1,0.760357714,0.760216984,1,0.760250395,1,1,1,1,0.760205575,1,1,0.760276278,1,0.765160509,1,1,0.760187584,0.760210622,9.6461,9.6837,9.6429,17.3712,17.3036,0
150,1,0.760196009,0.760193175,1,0.760193917,0.619927573,0.760194932,1,0.760283012,0.760201892,0.619953047,1,1,0.760197755,1,1,1,0.760201627,0.760194455,1,0.760207055,0.619980473,0.760194392,1,0.760201249,0.760205233,0.620245517,1,1,0.760204964,1,1,1,0.760277355,0.760191515,1,0.76028981,0.621227056,0.760187575,1,0.760260183,0.760324788,0.619955426,1,1,0.760288327,1,1,1,0.760201627,0.760194455,1,0.760207055,1,0.760194392,1,0.760201249,0.760205233,1,1,1,0.760204964,0.760194953,1,1,0.760277355,0.760191515,1,0.76028981,1,0.760187575,1,0.760260183,0.760324788,1,1,1,0.760288327,0.760201272,1,10.4345,10.473,10.4956,14.4285,14.3872,0
